Battery Power,Display Size,Sim count,Front camera max MP,Front camera count,Primary camera max MP,Primary camera count,Internal Memory,Mobile Depth,Mobile Height,Mobile Width,Mobile Weight,Mobile Color,Mobile Brand,Processor Speed,Networks,Core,OS,Ram,Resolution x,Resolution y,Mobile Price
5000,16.56,2,5,1,12,3,32,8.95,164.4,75.0,195.0,24,58,2.0,4,8,10,3,720,1600,8999
5000,16.56,2,5,1,12,3,32,8.95,164.4,75.0,195.0,1,58,2.0,4,8,10,3,720,1600,8999
5000,16.56,2,5,1,12,3,64,8.95,164.4,75.0,195.0,1,58,2.0,4,8,10,4,720,1600,9999
5000,16.56,2,5,1,12,3,64,8.95,164.4,75.0,195.0,24,58,2.0,4,8,10,4,720,1600,9999
5000,16.51,2,16,1,48,4,128,9.0,164.4,75.4,199.0,10,57,2.0,4,8,10,4,720,1600,11999
5000,16.51,2,16,1,48,4,128,9.0,164.4,75.4,199.0,24,57,2.0,4,8,10,4,720,1600,11999
4035,16.0,2,16,1,48,4,64,8.9,157.0,74.2,184.0,10,51,2.3,3,8,9,6,1080,2340,14999
4035,16.0,2,16,1,48,4,128,8.9,157.0,74.2,184.0,10,51,2.3,3,8,9,8,1080,2340,16999
4035,16.0,2,16,1,48,4,128,8.9,157.0,74.2,184.0,1,51,2.3,3,8,9,8,1080,2340,16999
4035,16.0,2,16,1,48,4,64,8.9,157.0,74.2,184.0,1,51,2.3,3,8,9,4,1080,2340,13999
4000,16.51,2,16,1,64,4,256,8.7,161.0,75.7,199.0,24,60,2.96,4,8,9,12,1080,2400,35999
4000,16.51,2,16,1,64,4,256,8.7,161.0,75.7,199.0,1,60,2.96,4,8,9,12,1080,2400,35999
4000,16.51,2,16,1,64,4,128,8.7,161.0,75.7,199.0,1,60,2.96,4,8,9,8,1080,2400,31999
4000,16.51,2,16,1,64,4,128,8.7,161.0,75.7,199.0,24,60,2.96,4,8,9,8,1080,2400,31999
3500,16.0,2,16,1,16,2,128,8.5,156.7,74.0,174.0,20,49,1.95,3,8,8,8,1080,2340,15490
4000,16.26,2,16,1,64,4,64,8.55,158.7,75.16,183.0,1,64,2.3,3,8,9,4,1080,2340,16999
4000,16.26,2,16,1,64,4,64,8.55,158.7,75.16,183.0,24,64,2.3,3,8,9,4,1080,2340,16999
4200,16.36,2,32,2,64,4,128,9.65,158.96,74.24,207.0,17,63,2.8,5,8,10,8,1080,2400,41999
4200,16.36,2,32,2,64,4,128,9.65,158.96,74.24,207.0,10,63,2.8,5,8,10,8,1080,2400,41999
4200,16.36,2,32,2,64,4,256,9.65,158.96,74.24,207.0,10,63,2.8,5,8,10,12,1080,2400,46999
5000,16.56,2,5,1,12,2,32,8.95,164.4,75.0,195.0,1,56,2.0,4,8,10,3,720,1600,8999
4300,16.51,2,16,1,64,4,128,9.6,162.1,74.8,191.0,24,53,2.05,4,8,10,6,1080,2400,16999
4300,16.76,2,16,2,64,4,128,9.4,163.9,75.8,195.0,15,54,2.3,4,8,10,8,1080,2400,19999
4300,16.76,2,16,2,64,4,128,9.4,163.9,75.8,195.0,1,54,2.3,4,8,10,8,1080,2400,19999
4000,15.49,2,5,1,13,2,32,8.5,154.3,73.7,166.0,0,55,2.0,4,8,9,2,720,1560,6999
4000,15.49,2,5,1,13,2,32,8.5,154.3,73.7,166.0,1,55,2.0,4,8,9,2,720,1560,6999
4000,15.49,2,5,1,13,2,32,8.5,154.3,73.7,166.0,0,55,2.0,4,8,9,3,720,1560,7499
4000,15.49,2,5,1,13,2,32,8.5,154.3,73.7,166.0,1,55,2.0,4,8,9,3,720,1560,7499
4000,15.49,2,5,1,13,2,32,8.5,154.3,73.7,166.0,18,55,2.0,4,8,9,3,720,1560,7499
4300,16.51,2,16,1,64,4,128,9.6,162.1,74.8,191.0,1,53,2.05,4,8,10,8,1080,2400,17999
4000,15.49,2,5,1,13,2,32,8.5,154.3,73.7,166.0,19,55,2.0,4,8,9,3,720,1560,7499
4035,16.0,2,16,1,48,4,64,8.9,157.0,74.2,184.0,10,51,2.3,3,8,9,4,1080,2340,13999
5000,16.51,2,13,1,48,4,128,9.3,164.4,75.6,198.0,17,52,2.0,4,8,9,4,720,1600,11999
5000,16.51,2,13,1,48,4,64,9.3,164.4,75.6,198.0,1,52,2.0,4,8,9,4,720,1600,10999
5000,16.51,2,13,1,48,4,128,9.3,164.4,75.6,198.0,16,52,2.0,4,8,9,4,720,1600,11999
5000,16.51,2,13,1,48,4,64,9.3,164.4,75.6,198.0,17,52,2.0,4,8,9,4,720,1600,10999
5000,16.51,2,13,1,48,4,128,9.3,164.4,75.6,198.0,1,52,2.0,4,8,9,4,720,1600,11999
5000,16.51,2,13,1,48,4,64,9.3,164.4,75.6,198.0,16,52,2.0,4,8,9,4,720,1600,10999
4000,16.51,2,16,1,64,4,64,8.7,161.0,75.7,199.0,1,60,2.96,4,8,9,6,1080,2400,29999
4000,16.51,2,16,1,64,4,64,8.7,161.0,75.7,199.0,24,60,2.96,4,8,9,6,1080,2400,29999
4000,16.51,2,16,1,64,4,256,8.7,161.0,75.7,199.0,2,60,2.96,4,8,9,12,1080,2400,36999
4000,16.51,2,16,1,64,4,256,8.7,161.0,75.7,199.0,5,60,2.96,4,8,9,12,1080,2400,36999
4300,16.51,2,16,1,64,4,128,9.6,162.1,74.8,191.0,24,53,2.05,4,8,10,8,1080,2400,17999
4000,15.49,2,5,1,13,2,32,8.5,154.3,73.7,166.0,19,55,2.0,4,8,9,3,720,1560,7499
4035,16.0,2,16,1,48,4,64,8.9,157.0,74.2,184.0,10,51,2.3,3,8,9,4,1080,2340,13999
5000,16.51,2,13,1,48,4,128,9.3,164.4,75.6,198.0,17,52,2.0,4,8,9,4,720,1600,11999
5000,16.51,2,13,1,48,4,64,9.3,164.4,75.6,198.0,1,52,2.0,4,8,9,4,720,1600,10999
5000,16.51,2,13,1,48,4,128,9.3,164.4,75.6,198.0,16,52,2.0,4,8,9,4,720,1600,11999
5000,16.51,2,13,1,48,4,64,9.3,164.4,75.6,198.0,17,52,2.0,4,8,9,4,720,1600,10999
5000,16.51,2,13,1,48,4,128,9.3,164.4,75.6,198.0,1,52,2.0,4,8,9,4,720,1600,11999
5000,16.51,2,13,1,48,4,64,9.3,164.4,75.6,198.0,16,52,2.0,4,8,9,4,720,1600,10999
4000,16.51,2,16,1,64,4,64,8.7,161.0,75.7,199.0,1,60,2.96,4,8,9,6,1080,2400,29999
4000,16.51,2,16,1,64,4,64,8.7,161.0,75.7,199.0,24,60,2.96,4,8,9,6,1080,2400,29999
4000,16.51,2,16,1,64,4,256,8.7,161.0,75.7,199.0,2,60,2.96,4,8,9,12,1080,2400,36999
4000,16.51,2,16,1,64,4,256,8.7,161.0,75.7,199.0,5,60,2.96,4,8,9,12,1080,2400,36999
4000,16.26,2,32,1,64,4,128,8.6,158.7,75.2,182.0,24,59,2.2,4,8,9,6,1080,2340,19999
4000,16.26,2,32,1,64,4,128,8.6,158.7,75.2,182.0,10,59,2.2,4,8,9,6,1080,2340,19999
4000,16.26,2,32,1,64,4,64,8.6,158.7,75.2,182.0,1,59,2.2,4,8,9,4,1080,2340,17999
4000,16.26,2,32,1,64,4,64,8.6,158.7,75.2,182.0,10,59,2.2,4,8,9,4,1080,2340,17999
4000,16.26,2,32,1,64,4,128,8.6,158.7,75.2,182.0,10,59,2.2,4,8,9,8,1080,2340,20999
4000,16.26,2,32,1,64,4,128,8.6,158.7,75.2,182.0,1,59,2.2,4,8,9,6,1080,2340,19999
4000,16.26,2,32,1,64,4,128,8.6,158.7,75.2,182.0,1,59,2.2,4,8,9,8,1080,2340,20999
4000,16.26,2,32,1,64,4,128,8.6,158.7,75.2,182.0,24,59,2.2,4,8,9,8,1080,2340,20999
4000,15.49,2,5,1,13,2,16,8.5,154.3,73.7,166.0,1,55,2.0,4,8,9,2,720,1560,6499
5000,16.51,2,16,1,48,4,128,9.0,164.4,75.4,199.0,1,57,2.0,4,8,10,4,720,1600,11999
4200,16.69,2,16,2,64,4,128,9.3,163.8,75.8,202.0,1,61,2.96,4,8,10,8,1080,2400,25999
4200,16.69,2,16,2,64,4,128,9.3,163.8,75.8,202.0,1,61,2.96,4,8,10,6,1080,2400,24999
4200,16.69,2,16,2,64,4,128,9.3,163.8,75.8,202.0,24,61,2.96,4,8,10,8,1080,2400,25999
4200,16.69,2,32,2,64,4,128,9.3,163.8,75.8,202.0,1,62,2.96,4,8,10,8,1080,2400,27999
4200,16.69,2,32,2,64,4,256,9.3,163.8,75.8,202.0,1,62,2.96,4,8,10,12,1080,2400,32999
4200,16.69,2,32,2,64,4,256,9.3,163.8,75.8,202.0,24,62,2.96,4,8,10,12,1080,2400,32999
4200,16.69,2,32,2,64,4,128,9.3,163.8,75.8,202.0,24,62,2.96,4,8,10,8,1080,2400,27999
4230,15.8,2,13,1,13,2,32,8.3,156.1,75.6,175.0,0,50,2.1,4,8,9,3,720,1520,8499
4230,15.8,2,13,1,13,2,64,8.3,156.1,75.6,175.0,17,50,2.1,4,8,9,4,720,1520,9499
4230,15.8,2,13,1,13,2,64,8.3,156.1,75.6,175.0,1,50,2.1,4,8,9,3,720,1520,9499
4230,15.8,2,13,1,13,2,64,8.3,156.1,75.6,175.0,0,50,2.1,4,8,9,3,720,1520,9499
4230,15.8,2,13,1,13,2,32,8.3,156.1,75.6,175.0,17,50,2.1,4,8,9,3,720,1520,8499
4230,15.8,2,13,1,13,2,64,8.3,156.1,75.6,175.0,1,50,2.1,4,8,9,4,720,1520,10499
4230,15.8,2,13,1,13,2,64,8.3,156.1,75.6,175.0,0,50,2.1,4,8,9,4,720,1520,10499
5000,15.8,2,8,1,12,2,64,9.4,156.48,75.41,188.0,1,67,1.95,3,8,9,4,720,1520,9799
5000,15.8,2,8,1,12,2,64,9.4,156.48,75.41,188.0,0,67,1.95,3,8,9,4,720,1520,9799
4000,16.23,2,20,1,48,3,128,8.8,156.7,74.3,191.0,17,72,2.84,3,8,9,6,1080,2340,24999
5020,16.94,2,16,1,48,4,64,8.8,165.75,76.68,209.0,1,80,2.3,2,8,10,4,1080,2400,16999
4000,16.23,2,20,1,48,3,128,8.8,156.7,74.3,191.0,0,72,2.84,3,8,9,6,1080,2340,24999
4030,15.44,2,32,1,48,3,128,8.475,153.48,71.85,173.8,24,16,2.0,4,8,9,6,720,1560,16939
4000,16.23,2,20,1,48,3,128,8.8,156.7,74.3,191.0,1,72,2.84,3,8,9,6,1080,2340,24999
4000,16.0,2,13,1,48,2,128,8.1,159.21,75.21,186.0,0,77,2.0,3,8,9,6,1080,2340,16999
4030,15.44,2,32,1,48,3,128,8.475,153.48,71.85,173.8,1,16,2.0,4,8,9,6,720,1560,14999
3400,15.21,2,5,1,12,1,128,7.7,151.86,75.49,185.0,0,17,2.5,3,8,7,6,1080,2160,16999
4000,16.23,2,20,1,48,3,128,8.8,156.7,74.3,191.0,24,72,2.84,3,8,9,6,1080,2340,24999
4030,15.44,2,32,1,48,3,128,8.475,153.48,71.85,173.8,12,16,2.0,4,8,9,6,720,1560,17350
4000,16.23,2,20,1,48,3,256,8.8,156.7,74.3,191.0,0,72,2.84,3,8,9,8,1080,2340,29999
4000,16.0,2,13,1,48,2,128,8.1,159.21,75.21,186.0,17,77,2.0,3,8,9,6,1080,2340,13999
4000,16.23,2,20,1,48,3,64,8.8,156.7,74.3,191.0,0,71,2.2,3,8,9,6,1080,2340,21999
3080,15.21,2,16,1,12,2,64,8.1,160.73,77.26,168.0,8,83,2.0,3,8,8,4,720,1440,13495
4000,16.23,2,20,1,48,3,256,8.8,156.7,74.3,191.0,24,72,2.84,3,8,9,8,1080,2340,29999
4000,16.23,2,20,1,48,3,128,8.8,156.7,74.3,191.0,1,71,2.2,3,8,9,6,1080,2340,24999
4000,15.9,2,20,2,12,2,64,8.26,157.9,76.4,181.0,8,75,1.8,4,8,8,4,1080,2280,15990
3010,15.21,2,20,1,20,2,64,7.3,158.7,75.4,168.0,17,15,2.2,4,8,8,4,1080,2160,13999
4780,16.94,2,20,1,10,1,256,8.96,162.58,74.8,209.0,12,14,2.84,2,8,10,8,1080,2340,55799
4780,16.94,2,20,1,10,1,128,8.96,162.58,74.8,209.0,10,14,2.84,2,8,10,8,1080,2340,51800
4000,16.23,2,20,1,48,3,128,8.8,156.7,74.3,191.0,17,71,2.2,3,8,9,6,1080,2340,24999
3010,15.21,2,20,1,20,2,128,7.3,158.7,75.4,168.0,17,15,2.2,4,8,8,6,1080,2160,16899
3010,15.21,2,20,1,20,2,128,7.3,158.7,75.4,168.0,8,15,2.2,4,8,8,6,1080,2160,16899
4000,16.23,2,20,1,48,3,128,8.8,156.7,74.3,191.0,0,71,2.2,3,8,9,6,1080,2340,24999
3010,15.21,2,20,1,20,2,128,7.3,158.7,75.4,168.0,1,15,2.2,4,8,8,6,1080,2160,16899
4000,15.21,2,20,1,12,2,64,8.05,158.58,75.35,181.0,17,74,1.8,3,8,7,6,1080,2160,16999
4000,16.23,2,20,1,48,3,128,8.8,156.7,74.3,191.0,24,71,2.2,3,8,9,6,1080,2340,24999
3050,12.7,1,2,1,13,1,16,8.1,144.0,73.6,145.0,12,13,2.3,1,4,4,2,1080,1920,13999
5000,15.8,2,8,1,12,2,64,9.4,156.48,75.41,188.0,10,67,1.95,3,8,9,4,720,1520,9799
5000,15.8,2,8,1,12,2,64,9.4,156.48,75.41,188.0,17,67,1.95,3,8,9,4,720,1520,9799
5000,15.8,2,8,1,12,2,64,9.4,156.48,75.41,188.0,0,67,1.95,3,8,9,4,720,1520,9799
4030,15.46,2,32,1,48,3,64,8.475,153.48,71.85,173.8,12,16,2.0,4,8,9,4,720,1560,12999
5020,16.94,2,16,1,48,4,128,8.8,165.75,76.68,209.0,0,80,2.3,2,8,10,6,1080,2400,14999
5020,16.94,2,16,1,48,4,128,8.8,165.75,76.68,209.0,1,80,2.3,2,8,10,6,1080,2400,14999
5020,16.94,2,16,1,48,4,64,8.8,165.75,76.68,209.0,1,80,2.3,2,8,10,4,1080,2400,16998
5000,15.8,2,8,1,13,2,32,9.0,175.0,92.0,186.0,1,69,2.0,3,8,9,2,720,1520,7399
5000,15.8,2,8,1,13,2,32,9.0,175.0,92.0,186.0,12,69,2.0,2,8,9,3,720,1520,7499
4000,16.0,2,13,1,48,2,64,8.35,158.3,75.3,190.0,24,79,2.0,1,8,9,4,1080,2280,11199
4000,16.0,2,13,1,48,2,128,8.35,158.3,75.3,190.0,1,79,2.0,1,8,9,6,1080,2280,13261
4000,16.0,2,13,1,48,2,32,8.35,158.3,75.3,190.0,1,79,2.0,1,8,9,3,1080,2280,10978
4030,15.46,2,32,1,48,3,64,8.475,153.48,71.85,173.8,1,16,2.0,4,8,9,4,720,1560,12999
4030,15.46,2,32,1,48,3,64,8.475,153.48,71.85,173.8,24,16,2.0,4,8,9,4,720,1560,12999
4000,16.0,2,13,1,48,2,64,8.35,158.3,75.3,190.0,1,79,2.0,1,8,9,4,1080,2280,11280
4000,16.0,2,13,1,48,2,64,8.35,158.3,75.3,190.0,0,79,2.0,1,8,9,4,1080,2280,10100
5000,15.8,2,8,1,13,2,32,9.0,175.0,92.0,186.0,24,69,2.0,3,8,9,3,720,1520,7450
4000,16.0,2,13,1,48,2,64,8.1,159.21,75.21,186.0,0,77,2.0,3,8,9,6,1080,2340,12999
4000,16.23,2,20,1,48,3,256,8.8,156.7,74.3,191.0,17,72,2.84,3,8,9,8,1080,2340,29999
5020,16.94,2,16,1,48,4,64,8.8,165.75,76.68,209.0,24,80,2.3,2,8,10,4,1080,2400,12999
5020,16.94,2,16,1,48,4,64,8.8,165.75,76.68,209.0,0,80,2.3,2,8,10,4,1080,2400,12999
5000,15.8,2,8,1,13,2,32,9.0,175.0,92.0,186.0,1,69,2.0,3,8,9,3,720,1520,7499
4000,15.9,2,20,2,12,2,64,8.26,157.9,76.4,181.0,0,75,1.8,4,8,8,6,1080,2280,11999
4000,15.9,2,20,2,12,2,64,8.26,157.9,76.4,181.0,17,75,1.8,4,8,8,6,1080,2280,11999
4100,13.97,2,5,1,13,1,64,8.4,151.0,76.0,165.0,0,73,2.0,2,8,6,4,1080,1920,12999
4000,15.9,2,20,2,12,2,64,8.26,157.9,76.4,181.0,8,75,1.8,4,8,8,6,1080,2280,11999
4000,16.23,2,20,1,48,3,64,8.8,156.7,74.3,191.0,1,71,2.2,3,8,9,6,1080,2340,21999
4000,15.21,2,20,1,12,2,64,8.05,158.58,75.35,181.0,8,74,1.8,3,8,7,4,1080,2160,12999
4000,16.0,2,13,1,48,2,128,8.1,159.21,75.21,186.0,24,77,2.0,1,8,9,6,1080,2340,13999
5020,16.94,2,32,1,64,4,128,8.8,165.5,76.68,209.0,0,81,2.3,2,8,10,6,1080,2400,16999
5020,16.94,2,32,1,64,4,128,8.8,165.5,76.68,209.0,24,81,2.3,2,8,10,6,1080,2400,16999
5000,15.8,2,8,1,12,1,32,9.4,156.48,75.41,188.0,17,68,1.95,3,8,9,2,720,1520,6999
4000,16.0,2,13,1,48,2,64,8.1,159.21,75.21,186.0,0,77,2.0,3,8,9,4,1080,2340,10999
4780,16.94,2,20,1,10,1,256,8.96,162.58,74.8,209.0,10,14,2.84,2,8,10,8,1080,2340,55400
4000,15.21,2,20,1,12,2,64,8.05,158.58,75.35,181.0,0,74,1.8,3,8,7,6,1080,2160,13999
4000,15.21,2,20,1,12,2,64,8.05,158.58,75.35,181.0,8,74,1.8,3,8,7,6,1080,2160,16999
4000,15.21,2,20,1,12,2,64,8.05,158.58,75.35,181.0,17,74,1.8,3,8,7,4,1080,2160,12999
3010,15.21,2,20,1,20,2,64,7.3,158.7,75.4,168.0,17,15,2.2,4,8,8,4,1080,2160,13999
4000,15.21,2,20,1,12,2,64,8.05,158.58,75.35,181.0,8,74,1.8,3,8,7,6,1080,2160,17999
3010,15.21,2,20,1,20,2,64,7.3,158.7,75.4,168.0,1,15,2.2,4,8,8,4,1080,2160,13999
3000,12.7,2,5,1,8,1,16,8.35,140.4,70.1,137.0,1,70,1.4,4,4,8,1,720,1280,6700
